address,kind,depth,title,source_line,note
3011/1c,b,5,Aerospace manufacturing,1204,
3011/1d,b,5,Astronautics,1205,
3011/1d1,b,6,Space architecture,1206,
3011/1d2,b,6,Space colonization,1207,
3011/1d3,b,6,Space commercialization,1208,
3011/1d3a,b,7,Space-based economy,1209,
3011/1d3b,b,7,Space industry,1210,
3011/1d3c,b,7,Space manufacturing,1211,
3011/1d3d,b,7,Space tourism,1212,
3011/1d4,b,6,Space environment,1213,
3011/1d5,b,6,Space logistics,1214,
3011/1d6,b,6,Space food,1215,
3011/1d7,b,6,Space medicine,1216,
3011/1d7a,b,7,Neuroscience in space,1217,
3011/1d8,b,6,Space religion,1218,
3011/1d9,b,6,Space sex,1219,
3011/1d10,b,6,Space survival,1220,
3011/1d11,b,6,Space warfare,1221,
3011/1d12,b,6,Space writing,1222,
3011/1e,b,5,Aeronautics,1223,
3011/1f,b,5,Control engineering,1224,
3011/1g,b,5,Human spaceflight,1225,
3011/1h,b,5,Robotic spacecraft,1226,
3011/1i,b,5,Space corrosion,1227,
3011/2,b,4,Space technology,1228,
3011/2a,b,5,Space telescopes,1229,
3011/2b,b,5,Space-based radar,1230,
3011/2c,b,5,Space-based solar power,1231,
3011/2d,b,5,Spacecraft design,1232,
3011/2e,b,5,Spacecraft propulsion,1233,
3011/3,b,4,Asteroid-impact avoidance,1234,
3011/4,b,4,Astrobiology,1235,
3011/5,b,4,Astrobotany,1236,
3011/6,b,4,Astrochemistry,1237,
3011/6a,b,5,Theoretical astronomy,1238,
3011/7,b,4,Cosmochemistry,1239,
3011/8,b,4,Cosmology,1240,
3011/8a,b,5,Physical cosmology,1241,
3011/9,b,4,Micro-g environment research,1242,
3011/10,b,4,Remote sensing,1243,
3011/11,b,4,Space archaeology,1244,
3011/12,b,4,Space exploration,1245,
3011/13,b,4,Space law,1246,
3011/14,b,4,Space nuclear power,1247,
3012,h,3,Astronomy,1249,
3012/1,b,4,Astronomy,1251,
3012/1a,b,5,Archaeoastronomy,1252,
3012/1b,b,5,Astrometry,1253,
3012/1c,b,5,Amateur astronomy,1254,
3012/1d,b,5,Forensic astronomy,1255,
3012/1e,b,5,Extragalactic astronomy,1256,
3012/1f,b,5,Galactic astronomy,1257,
3012/1g,b,5,High-energy astronomy,1258,
3012/1h,b,5,Observational astronomy,1259,
3012/1h1,b,6,Radio astronomy,1260,
3012/1h2,b,6,Microwave astronomy,1261,
3012/1h3,b,6,Submillimetre astronomy,1262,
3012/1h4,b,6,Infrared astronomy,1263,
3012/1h5,b,6,Optical astronomy,1264,
3012/1h6,b,6,UV astronomy,1265,
3012/1h7,b,6,X-ray astronomy,1266,
3012/1h8,b,6,Gamma-ray astronomy,1267,
3012/1h9,b,6,Cosmic-ray astronomy,1268,
3012/1h10,b,6,Neutrino astronomy,1269,
3012/1h11,b,6,Gravitational wave astronomy,1270,
3012/1i,b,5,Photometry,1271,
3012/1j,b,5,Spectroscopy,1272,
3012/1k,b,5,Stellar astronomy,1273,
3012/1k1,b,6,Solar astronomy,1274,
3012/2,b,4,Astrophysics,1275,
3012/2a,b,5,Celestial mechanics,1276,
3012/2b,b,5,Compact objects,1277,
3012/2c,b,5,Computational astrophysics,1278,
3012/2d,b,5,Gravitational astronomy,1279,
3012/2d1,b,6,Black holes,1280,
3012/2e,b,5,Interstellar medium,1281,
3012/2f,b,5,Numerical simulations,1282,
3012/2f1,b,6,Astrophysical plasma,1283,
3012/2f2,b,6,Galaxy formation and evolution,1284,
3012/2f3,b,6,High-energy astrophysics,1285,
3012/2f4,b,6,Hydrodynamics,1286,
3012/2f5,b,6,Magnetohydrodynamics,1287,
3012/2f6,b,6,Star formation,1288,
3012/2g,b,5,Orbital mechanics,1289,
3012/2h,b,5,Physical cosmology,1290,
3012/2i,b,5,Relativistic astrophysics,1291,
3012/2j,b,5,Stellar astrophysics,1292,
3012/2j1,b,6,Helioseismology,1293,
3012/2j2,b,6,Solar physics,1294,
3012/2j3,b,6,Stellar evolution,1295,
3012/2j4,b,6,Stellar nucleosynthesis,1296,
3012/2k,b,5,Space plasma physics,1297,
3012/3,b,4,"Planetary science (alternatively, a part of earth science)",1298,
3012/3a,b,5,Atmospheric science,1299,
3012/3b,b,5,Exoplanetology,1300,
3012/3c,b,5,Planetary formation,1301,
3012/3d,b,5,Planetary rings,1302,
3012/3e,b,5,Magnetospheres,1303,
3012/3f,b,5,Planetary geology,1304,
3012/3g,b,5,Planetary surfaces,1305,
3012/3h,b,5,Small Solar System bodies,1306,
3013,h,2,Physics,1308,
3013/1,b,4,Acoustics,1310,
3013/1a,b,5,Quantum acoustics,1311,
3013/2,b,4,Agrophysics,1312,
